Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed,points,wins,draws,losses
Arsenal-2018,1.921,0.737,12.263,4.474,5.579,10.842,1.895,0.053,2.354,4.351,4.815789473684211,70.0,21.0,7.0,10.0
Bournemouth-2018,1.474,0.737,11.763,4.289,5.026,8.921,1.579,0.026,4.744,4.178,4.605263157894737,45.0,13.0,6.0,19.0
Brighton-2018,0.921,0.447,9.605,2.842,4.105,12.184,1.579,0.105,6.043,4.132,4.605263157894737,36.0,9.0,9.0,20.0
Burnley-2018,1.184,0.632,9.447,3.026,3.684,9.447,1.974,0.026,6.856,4.353,5.526315789473684,40.0,11.0,7.0,20.0
Cardiff-2018,0.895,0.289,10.974,3.316,4.421,10.105,1.711,0.026,7.598,4.613,5.578947368421052,34.0,10.0,4.0,24.0
Chelsea-2018,1.658,0.711,15.947,5.211,5.658,8.921,1.289,0.0,1.951,4.696,3.3421052631578947,72.0,21.0,9.0,8.0
Crystal Palace-2018,1.342,0.526,12.921,3.842,5.395,10.158,1.526,0.053,4.546,3.991,4.315789473684211,49.0,14.0,7.0,17.0
Everton-2018,1.421,0.658,13.026,4.447,5.658,11.368,1.447,0.105,3.445,3.873,3.6052631578947367,54.0,15.0,9.0,14.0
Fulham-2018,0.895,0.395,11.921,3.921,4.237,11.132,1.789,0.053,6.247,4.495,5.921052631578948,26.0,7.0,5.0,26.0
Huddersfield-2018,0.579,0.289,10.526,3.105,4.263,11.053,1.447,0.105,8.047,4.628,5.026315789473684,16.0,3.0,7.0,28.0
Leicester-2018,1.342,0.395,13.553,4.842,5.526,9.237,1.5,0.132,3.927,3.907,3.657894736842105,52.0,15.0,7.0,16.0
Liverpool-2018,2.342,1.0,15.105,5.947,6.553,8.289,0.974,0.053,1.528,5.791,2.5526315789473686,97.0,30.0,7.0,1.0
Man City-2018,2.5,1.289,17.974,6.842,7.553,8.632,1.158,0.026,1.329,7.407,2.1842105263157894,98.0,32.0,2.0,4.0
Man United-2018,1.711,0.921,13.842,5.921,5.263,11.395,1.921,0.105,2.344,4.293,4.552631578947368,66.0,19.0,9.0,10.0
Newcastle-2018,1.105,0.605,11.684,3.737,4.763,11.105,1.5,0.053,5.556,4.046,3.8947368421052633,45.0,12.0,9.0,17.0
Southampton-2018,1.184,0.579,12.632,4.263,5.079,11.053,1.868,0.079,4.883,4.013,4.7105263157894735,39.0,9.0,12.0,17.0
Tottenham-2018,1.763,0.816,14.105,4.974,5.105,9.868,1.474,0.079,2.254,4.369,4.184210526315789,71.0,23.0,2.0,13.0
Watford-2018,1.368,0.474,11.421,3.974,4.658,11.395,2.026,0.105,4.302,3.921,4.842105263157895,50.0,14.0,8.0,16.0
West Ham-2018,1.368,0.579,11.605,4.132,4.921,8.711,1.553,0.026,4.431,4.064,5.2631578947368425,52.0,15.0,7.0,16.0
Wolves-2018,1.237,0.447,12.474,3.974,5.132,10.763,1.895,0.026,3.83,3.812,3.8947368421052633,57.0,16.0,9.0,13.0
